infinitiv	tip	sigurnost	predlozeni_oblik
zabrkati	-ati (palatalizacija?)	proveri	zabrčeš
zabrkati	-ati (palatalizacija?)	proveri	zabrče
zabrkati	-ati (palatalizacija?)	proveri	zabrčemo
zabrkati	-ati (palatalizacija?)	proveri	zabrčete
zabrkati	-ati (palatalizacija?)	proveri	zabrču
zabrkati	-ati (palatalizacija?)	proveri	zabrči
zabrkati	-ati (palatalizacija?)	proveri	zabrčite
zabrkati	-ati (palatalizacija?)	proveri	zabrkao
zabrkati	-ati (palatalizacija?)	proveri	zabrkala
zabrkati	-ati (palatalizacija?)	proveri	zabrkalo
zabrkati	-ati (palatalizacija?)	proveri	zabrkali
zabrkati	-ati (palatalizacija?)	proveri	zabrkale
zabrujati	-ati	visoka	zabrujam
zabrujati	-ati	visoka	zabrujaš
zabrujati	-ati	visoka	zabrujamo
zabrujati	-ati	visoka	zabrujate
zabrujati	-ati	visoka	zabrujaju
zabrujati	-ati	visoka	zabrujaj
zabrujati	-ati	visoka	zabrujajte
zabrujati	-ati	visoka	zabrujao
zabrujati	-ati	visoka	zabrujalo
zabušiti	-iti	visoka	zabušim
zabušiti	-iti	visoka	zabušiš
zabušiti	-iti	visoka	zabuši
zabušiti	-iti	visoka	zabušimo
zabušiti	-iti	visoka	zabušite
zabušiti	-iti	visoka	zabuše
zabušiti	-iti	visoka	zabušio
zabušiti	-iti	visoka	zabušila
zabušiti	-iti	visoka	zabušilo
zabušiti	-iti	visoka	zabušile
zacepiti	-iti	visoka	zacepim
zacepiti	-iti	visoka	zacepimo
zacepiti	-iti	visoka	zacepe
zacepiti	-iti	visoka	zacepio
zacepiti	-iti	visoka	zacepila
zacepiti	-iti	visoka	zacepilo
zacepiti	-iti	visoka	zacepili
zacepiti	-iti	visoka	zacepile
zacopati	-ati	visoka	zacopam
zacopati	-ati	visoka	zacopaš
zacopati	-ati	visoka	zacopa
zacopati	-ati	visoka	zacopamo
zacopati	-ati	visoka	zacopate
zacopati	-ati	visoka	zacopaju
zacopati	-ati	visoka	zacopaj
zacopati	-ati	visoka	zacopajte
zacopati	-ati	visoka	zacopalo
zacopati	-ati	visoka	zacopali
zacopati	-ati	visoka	zacopale
zacrniti	-iti	visoka	zacrnim
zacrniti	-iti	visoka	zacrniš
zacrniti	-iti	visoka	zacrnimo
zacrniti	-iti	visoka	zacrnite
zacrniti	-iti	visoka	zacrnio
zacrniti	-iti	visoka	zacrnila
zacrniti	-iti	visoka	zacrnili
zacrniti	-iti	visoka	zacrnile
zacrveneti	-eti	proveri	zacrvenim
zacrveneti	-eti	proveri	zacrveniš
zacrveneti	-eti	proveri	zacrvenimo
zacrveneti	-eti	proveri	zacrvenite
zacrveneti	-eti	proveri	zacrvenela
zacrveneti	-eti	proveri	zacrvenelo
zacrveneti	-eti	proveri	zacrveneli
zacrveniti	-iti	visoka	zacrvenim
zacrveniti	-iti	visoka	zacrveniš
zacrveniti	-iti	visoka	zacrvenimo
zacrveniti	-iti	visoka	zacrvenite
zacrveniti	-iti	visoka	zacrvenila
